clean_text,final_label,source_langue,pays
وعلاه وهران وش عندهم وجوه الشر هاذو وهران,negative,arabe,algerie
صفي منهم وعلاه راك تسب,negative,arabe,algerie
وعلاه ياربي الجزائر تجد رجالة يخدموها يغادرونا سريعا,negative,arabe,algerie
وعلاه تشوف جارية انت,negative,arabe,algerie
امشي شهروعلاه باش نحسدوك,negative,arabe,algerie
حاب نعرف برك المديرية العامة للغابات واش خدمتها ؟مادام الدنيا هاملة اذن دعها فانها مأمورة وعلاه الخسائر,negative,arabe,algerie
وعلاه زعما بغيتي تقوليهالي بلفغونسي,negative,arabe,algerie
وعلاه لابسين قش الشتاء الدنيا سخونة وهوما مشتين الأقل يعرفو يكدبو,negative,arabe,algerie
وعلاه تعايري طيحي خاوتك,negative,arabe,algerie
وعلاه تحوسي تبكيني جيلان وانا بالكاد اتجاوز مغادر لدرجة انني اعود اعلم انتظر عودته او سألوح بكف ال,negative,arabe,algerie
وعلاه تحوسي تبكيني جيلان وانا بالكاد اتجاوز مغادر لدرجة انني اعود اعلم انتظر عودته او سألوح,negative,arabe,algerie
جزت فيديو محزن جدا لأحد المتضررين القل يقول وشهقة البكاء ترافقه قاعدين نتغداو والدنيا شاعلة وعلاه,negative,arabe,algerie
هه وفي تصرا امطار طوفانية واح نزيدو نسمعو الكاسيطا علاش مينظفوش روڨارات وعلاه ماميبنيوش طرق مليحة,negative,arabe,algerie
وعلاش عندنا الي يديروش خلية أزمة مستعجلة لإجلاء السكان هاد المناطق تلحق النيران,negative,arabe,algerie
وعلاه ماتخرجوش النساء درتهم يخدموا الحماية ومحافظة الغابات؟ حسبي الله ونعم الوكيل,negative,arabe,algerie
وعلاه الصورة تعيف,negative,arabe,algerie
وعلاه ماتحكيش الطيارة كراوها وهي خردة وعلاه ماكانش محاسبة,negative,arabe,algerie
وعلاه يتعب روحو اسيدي,negative,arabe,algerie
علاه الحرائق فقط اوت بشكل مرعب وعلاه نار اليوم لهبت فجأة وبسرعة وبطريقة مخيفة وزاد كمل عليها الريح وبلا يفيق,negative,arabe,algerie
وعلاه بعثتوش طيارات,negative,arabe,algerie
وعلاه نتا تدخل حرب عارف بلي تخسرها,negative,arabe,algerie
وليت نكره الصيف السناريوهات مافيا العقارات ادوها سلمية وعلاه منكر هدا حرڨتونا,negative,arabe,algerie
الكل عارف وعلاه الشباب يحرڨ ماكلاه دزيدو عليها فقر لايديك يجيبك الساعة بخمسة والحسابة بتحسب والفاهم يفهم,negative,arabe,algerie
وعلاه هابلين ملا يتزوجو موظفات ؟؟ناس مرضى,negative,arabe,algerie
وعلاه انا فيديوهاتي مايطلعوش اصلا الفيديوا مراحش يطلع,negative,arabe,algerie
وعلاه بلغش هذيك السيارة,negative,arabe,algerie
وعلاه جاهلة كيفك مملوكة,negative,arabe,algerie
انا ضامن بلي ينصاب تربص عطال رخيىس بصحوعلاه حابة يدخل عمورة ؟راني متأكد بلي ضمن الاساسية,negative,arabe,algerie
وعلاه بطلتي الخير رجعلك شر,negative,arabe,algerie
وعلاه جيناك علي العين العورة حنا,negative,arabe,algerie
وعلاه هذوك جاوك عباد كيما الناس، ياكلو الحنوشة، الفكارن، الخنافس وزيد وزيد,negative,arabe,algerie
الله غالب تخمام لعرب شكبي فهمتش وعلاه يتعاداو فالخر كلهم مسلمين,negative,arabe,algerie
وعلاه الزحف وليدي، كرعيهم مقطوعين,negative,arabe,algerie
حول قوة بالله وعلاه الجزائريين؟؟,negative,arabe,algerie
خطبها وعلاه راهي تبكي الف مبروك والعقوبة مزالت متزوجتش,negative,arabe,algerie
يلقاو إنسان نية يلعبو بيه يكرهو ، منبعد يقولك وعلاه مبقاتش النية فالبلاد,negative,arabe,algerie
وعلاه مزال كاين عيباد يهتمو مضهر تاعهم كثر تصروفاتهم,negative,arabe,algerie
وعلاه الرجال ماعندهمش قلب والاحساس والضمير تبكي نقلك,negative,arabe,algerie
وعلاه خليجي حنا الجزائريين معمرنالكمش عينيكم,negative,arabe,algerie
فرصة وعلاه ضيعها,negative,arabe,algerie
وعلاه يهدر بالفرونسي,negative,arabe,algerie
هه هى زواخة وعلاه نعمر بيها راسي متابعينها ويكونوا كيفها,negative,arabe,algerie
ماكاش كامل يقيمك ويقولك كيراك شوية,negative,arabe,algerie
ماكاش الماء، الناس ولات تخسر باطل، تسقام مليون يلقاوش الماء,negative,arabe,algerie
بالنسبالي مجرد خرطي يعمل يظل عيني فاشل ومادار والو وملف عقود ماقبل التشغيل يكفيه كبصمة عار,negative,arabe,algerie
ماكاش الغاز الله روحو تطلبو بعيد فيهاش شكرا,negative,arabe,algerie
ياخويا ذرة كرامة عندوش ماكاش اع النيف,negative,arabe,algerie
ماكاش الروجوع روح روح وحد المخلوع,negative,arabe,algerie
ذوي الاحتياجات الخاصة معندهمش الحق اكثر فئة مهمشة ماكاش يدافع حقوقهم,negative,arabe,algerie
ماكاش يقلق كيما صحاب الانرويد يبدلو للايفون,negative,arabe,algerie
سيارة كنت مستحقها باش ناخذ بيها الوالد يعالج السرطان كلاه ربي يرحموا زيد الحدود,negative,arabe,algerie
ماكاش للاسف,negative,arabe,algerie
ماكاش ماكاش خلي يتخايلو يديرو شوية شان لعمرهم ماراه مقيمهم,negative,arabe,algerie
يعطيك الصحة عندهم كلام ماكاش اللي يقدر يفهمو,negative,arabe,algerie
لطيف النور ماكاش وجههم تقول عليهم شياطين,negative,arabe,algerie
مصالح الأرصاد الجوية أنه ابتداء اليوم شاء الله ماكاش الصباح كاين الڨايلة مباشرة للمغرب باش اديروا حسابكم,negative,arabe,algerie
حالة صحة الخبر انتم معنيون ماكاش خو برك,negative,arabe,algerie
هذيك الكلمة يلعبوها مي تجي لصح ماكاش فرق تخمامهم العقلية السائدة العامة,negative,arabe,algerie
الله يباركفيمن راه يأثر؟ماكاش حد اسمع بيه انتوما,negative,arabe,algerie
هه وأنت مثلا علاه جاتك جنابك جبدتكم؟ هدرت عليكم؟ قلت نتوما ؟حنا نديرو طوابير,negative,arabe,algerie
هه حقيقتنا الجزائريين ماكاش تحلاب,negative,arabe,algerie
حنا عندنا السي برك احة ماكاش الدليل الواحد يروح للبحر يلقى سي سي هه,negative,arabe,algerie
ماكاش تعليق ترد الكنديبن منزوع الإرادة عديم الشرف,negative,arabe,algerie
دزاير ماكاش تخطيط للمستقبل، نوض رقاد شوف الأمور وين راهي رايحة وتبعها,negative,arabe,algerie
والو مارشاريار ماكاش زدمتي تكملي هه,negative,arabe,algerie
وتبقي الصور عبرة للاجيال القادمة دل كهذا ماكاش,negative,arabe,algerie
ماكاش التريسيتي,negative,arabe,algerie
ماسمعتش بيها ، وين راحت ، دوك شكون يحكي بإسم الاخرار يسما خلاص ماكاش نضال تويتري؟,negative,arabe,algerie
شفت ثلث حلقات ماعجبونيش الكوبلز، ماكاش بيناتهم، البطل نورماملو متنمر يزعف يولي كيوت,negative,arabe,algerie
هه ماكاش القافلة تسير والكلاب تنبح لازم تنزل وتعطيهم طريحة هه,negative,arabe,algerie
الاقل يعبرو يتواصلو ماكاش إعاقة سلوكية,negative,arabe,algerie
حاب نسأل النساء سؤال حنا ليجان بربي ان شاء الله مايقعد ونكملوها فالضفة الاخرى لبلاد راي ليكم وريونا برك كيفا,negative,arabe,algerie
ماكاش مبهدلين قدكم نهاركم كامل نباح نباح,negative,arabe,algerie
خلقو خلق مليار بنادم وحدوخر الدنيا توقف حتا يضحي بروحو تطفر هادا وش شفت ماكا,negative,arabe,algerie
ماكاش علابالوش بلي نتي عاقلةحقا كاين وحدة حابة تدابز واش رايك نروحو نعطوها طريحة,negative,arabe,algerie
الارقام هاذو ماكاش راني نسيي ماكاش,negative,arabe,algerie
ماكاش خيانة الخيانة تاع صحابك يحولوا للبحر مايحلبوكش,negative,arabe,algerie
ماكاش بنات الفاميلية نقولولهم يجو يخطبو خياتكم قولو الشيء,negative,arabe,algerie
ماكاش كيفاه نراطيه ماتش مرة أشهر بالاك يخلاص بتبهديلة تاني,negative,arabe,algerie
اسمحيلي بصح ماكاش لازم تحليلهم الدصارة تع الفايسبوك الا سحقو كاش حاجة يقولوهالك فالقسم,negative,arabe,algerie
كيفاش نتوما تحطو حياتكم ڤع واش ديرو لعشية اومبعد ناس يبداو يحلو قاعهم تقولو علاش,negative,arabe,algerie
الحب ماكاش كامل ديجا مجرد فكرة يجيبو بيها الوقت بيكم,negative,arabe,algerie
وين راهم المسؤولين ؟ ماكاش الي يضرب عليهم الي يضرب فيهم بيها قعدنا الحضيض,negative,arabe,algerie
ياودي واش دخلك ؟؟ وعلاش تقف معاها نتايا,negative,arabe,algerie
وعلاش متزوجاته خاطر عضلاته ؟ طبيعي تنسجم الاحداث المتغيرة,negative,arabe,algerie
وانت والسيد اللي أعدت تغريدته غايضكم الحال الناس راهي فرحانة وعلاش؟؟ ربنا بسبب الفر,negative,arabe,algerie
ونرجع للسؤال العويص الي معندوش حل وعلاش الليفربولي ميناقش الكرة او باصح ميقدرش يناقشك الكرة؟ والله,negative,arabe,algerie
وعلاش راكي مقلقا,negative,arabe,algerie
بقاو فيا هاذوك للي غشوا الإمتحانات الباكالوريا وحبسوهم لحباسات تصل مدة السجن سنوات وعلاش زعمة,negative,arabe,algerie
وعلاش نحبو ، وحنا حا نتفارقو,negative,arabe,algerie
وعلاش تحكي معه الاول اصلا,negative,arabe,algerie
وعلاش طيح غول,negative,arabe,algerie
الضرسة حيدتها وعلاش الحراق باقي فضرسة الي حداها,negative,arabe,algerie
وعلاش عندهم رجال ؟,negative,arabe,algerie
وعلاش الغش؟,negative,arabe,algerie
وعلاش احنا ملائكة ؟ احنا نسب فيهم,negative,arabe,algerie
كلامك تناقض وعلاش تدعي ؟,negative,arabe,algerie
وعلاش مايروحوش يديروها وين كاين زطايلية فوايو ؟,negative,arabe,algerie
وعلاش تفضحي فينا,negative,arabe,algerie
وعلاش راك لابس لبسة ؟مزال مادرتش التاويل ؟ واش شريت؟ربي يهدي خلق منقول,negative,arabe,algerie
علامات قلة التربـية الادب شحال تخلص؟ مزال مجبتيش ذراري ؟؟واشبيك قاعد عازب قاعدة عازبة؟ واش بيك شينت,negative,arabe,algerie
وعلاش الي يمشي لل بحر يلم وسخو وراه ولي شارع ميلوحش وسخو وعلاش يلزم فما شكون ينظف وراه؟,negative,arabe,algerie
نتي نجمة فالسماء ضاوية وقلوب الناس ناسيةيشمعة وعلاش طافية,negative,arabe,algerie
الحمدلله فقتي روحك هبلتي مرحبا بيك مستشفى المجانين,negative,arabe,algerie
يوم كانت العاصمة عاصمة يدخلها أمثال أنس تينا بقي بعقلية الدشرة المعقدة رغم أنه ولد العاصمة,negative,arabe,algerie
ياو احشم اكبر قهوي,negative,arabe,algerie
وهل يقطن العاصمة كلهم ابناء العاصمةالاغلبية دخلوا دشرةواستقروا بهااذا كلمة قهوي معناها,negative,arabe,algerie
نيتشه ديفوا يبانلي قهوي شوية,negative,arabe,algerie
قولي لون عيونك قهوي الاول موش انجي الشمس لونهمعسلي,negative,arabe,algerie
استغرب المستوى المتدني لوصلنا ليه لدرجة انو الناس قاعدة تتناقش ينتاقد يدافع اسمو انس تينا,negative,arabe,algerie
اخي مصطلح قهوي يريد سكان الارياف مصطلح للناس اللي قليلة الأدب العراية رانا نتلاقاو بيهم,negative,arabe,algerie
ألفاظ تدل علي أنك قهوي تفكيرك كنت ولد لبلاد عيب تكتب هاذ لكلام لبنت بلادك,negative,arabe,algerie
قهوي ؟ علابالك بلي الناس تقول القهويين تقصد القبايل ؟ياخي بني عداس يازح,negative,arabe,algerie
يخيا اهم شى لونه قهوي,negative,arabe,algerie
قهوي مشتفة اي قبايلي نتاع الجبل سموا نزوحهم للعاصمة لاعلاقة للون البشرة,negative,arabe,algerie
قلنا سابقا كلمة قهوي تأتي فراغ مشروع لعزل الأغلبية الساحة فرض أفكار تاجمعت عليهم قصرا الا,negative,arabe,algerie
بصفتك صحفي ربما تنزل الى المستوى الناس الكلمة شائبة ونية مقعمزة,negative,arabe,algerie
التافه يدري اصلا معنى كلمة قهوي، المنبر عندو عرف التافه بينا يفهمه,negative,arabe,algerie
عندنا حساسية الجميع جيراننا البربر اخواننا العرب الافارقة وغاساما وكاننا شعب اغلبه قهوي,negative,arabe,algerie
لازم نخترع كاش مصطلح مضاد يبقالهم سبة آخر الدهر؛ يعني أسمر قهوي,negative,arabe,algerie
مسؤول قهوي,negative,arabe,algerie
عادة سيئة ظهرت الصيف يروح لبحر يصورو ناس ممبعد يدخل للتيك توك يحطو يقول قهوي باش يضحك الناس,negative,arabe,algerie
متفقين القهويين بصح صاحب الفيديو قهوي كلش,negative,arabe,algerie
قهوي احسن الروز,negative,arabe,algerie
كلمة عنصربةوكل راه يتفلسف بش يلقى تبريرات قهوي,negative,arabe,algerie
مكانش قع، قتلك مظلومية زايدة بركدور فاليوتوب تلقاهم كامل يمعنيو قهوي صاحب السلوك السيء,negative,arabe,algerie
طعمووك طلقوك الهايشة روح سب روح اطلڨ لخنز تاع فمكم,negative,arabe,algerie
تختلف عقليات المنطقة والسن يعني ماشي تختلف عبد تقول قهوي وكعبة وتحس روحك هارب ونتا مزالك عالم,negative,arabe,algerie
يشوفو ماتريكيل ليبي يرحبو بيه يفرحو بيه بصح يشوفو ماتريكول مدن داخلية يتشارو بلي قهوي,negative,arabe,algerie
يخرجو ، انتا شباب ماشي كيما انا قهوي,negative,arabe,algerie
طبعا إخوة بالعرق بالشكل بالخريطة شاج,negative,arabe,algerie
وشعبك وقتاش توقف معاه كيما راك واقف توتس وفلسطين,negative,arabe,algerie
واللهي نحب نعرف وقتاش نوصلو انفكرو البلدان الي تحترم نفسها امعادش نوصفو راي مختلف بالمرتزق والخا,negative,arabe,algerie
جامي نصحني تأثرت دايما يكون تركيد تاعي وقتاش يبلع فمو,negative,arabe,algerie
ياخي مات وقتاش القامار,negative,arabe,algerie
السبان معاهم وقتاش عرفو يتناقشو,negative,arabe,algerie
مسكينة عروستي ،واقيل راهي تخمم وقتاش عرسها,negative,arabe,algerie
وقتاش قالها هاذي خويا هاذي قديمة اضن الان راه الموت الحياة,negative,arabe,algerie
وقتاش نطق؟؟,negative,arabe,algerie
تمشي لسوق الفريب وتركن سيارتك الحقيرة بجنب سيارة فخمة اخر طراز تابعة لوزارة مانحبش نسميها تقول علاش قلة الذو,negative,arabe,algerie
وقتاش باش يبداو يخرجوا يشلطوا رواحهم؟؟,negative,arabe,algerie
شفتي كفاه تعرفي هاذي اللي نحكيلك عليها وقتاش اكتشفت زواجه السري يوم اتوفى والدها ماننساش يومها,negative,arabe,algerie
للأسف شديد كاين ميعرفوش وقتاش تبدأ سنة الهجرية,negative,arabe,algerie
مزال مفهمتش وعلاه تسالني متين الفوقتاش ديتها,negative,arabe,algerie
واييه شوف وقتاش جاو ملي هاد الكسول,negative,arabe,algerie
المتاحف تطان عرفت وقتاش كيحلوهم مشيت ليهم لقيتهم سادين,negative,arabe,algerie
علاش وقتاش دخلت للحبس أصله صرااحة اسحاق بقی حل تغيير الشّعب,negative,arabe,algerie
وقتاش شفت يشيان الحبس بوقوقو ، ماكلة رقاد,negative,arabe,algerie
عاملة روحك ذكية بالله اسكت وقتاش استفتاء دولة تنجم,negative,arabe,algerie
شمعنتها انت ول حالةكيفاش تنجم تبرر انسان شد ظفلة بسيف عليها احسبها كيما وقتاش نتعلمو,negative,arabe,algerie
ميشفاش العبد وقتاش ناض,negative,arabe,algerie
وقتاش تفتحوا استيراد السيارات غبنتونا وين رانا عايشين واش هادا ولينا ندوروا بتاع عام دقيوس والنار,negative,arabe,algerie
ونستنى فيك يالعمر وقتاش تجي ؟,negative,arabe,algerie
التعب يسبب الهبال تقولو علاش انتي وقتاش كنتي بعقلك؟؟,negative,arabe,algerie
مجتمع يقبل الاختلافبالسيف يحبونا طوابع سكر وقتاش نفهم يملك الحقيقة المطلقة وأنها موجودة,negative,arabe,algerie
انا ماسمعتش ان المواطنين قاعدين يساهم اطفاء الحرايقمهمة رجال الاطفاء والجيش اش مدخلنا ؟عقلية اللي يلقى,negative,arabe,algerie
وقتاش عندو الاخبار هادا باغي يثير الجدل يجمع تعليقات اعجابات,negative,arabe,algerie
واييه عرفتش وقتاش عندنا الاشخاص المناسبين الاماكن المناسبة فبلاصة هاد الهواة,negative,arabe,algerie
تصور يقلك اش عاملة فيك السخانة وطول يقلك وقتاش نفرحو بيك انا نلكمه طول,negative,arabe,algerie
علاه وقتاش مات,negative,arabe,algerie
رايك انت حر بطبيعة مانيش مستغرباا رايك ياخي انت وقتاش تعجبك حاجة اصلا انت,negative,arabe,algerie
وقتاش نشوفوو هذو الملاعب تتحدثون عنهم,negative,arabe,algerie
انت تقطع طريق كاش دار فيك مزية؟كاين القانون يقولك وين تقطع وقتاش عندك الأولوية،,negative,arabe,algerie
الاترااك يكرهوو العرب وقتاش تفهموها هادي,negative,arabe,algerie
وقتاش ؟اه العرض العسكري هه عاودها نهار كنت مقلقة,negative,arabe,algerie
هدوء متاع واد ساكت تعرفش وقتاش يفيض,negative,arabe,algerie
حابة نعرف هاذو وينتا عندهم رأي علاش ماسمعناش بأراءهم وقتاش مثلو الشعب ؟؟,negative,arabe,algerie
وقتاش يفرج ربي ينحي الشك بيا,negative,arabe,algerie
شريكه الجريمة فاق بصفة متأخرة وأنت وقتاش دغفة مدك,negative,arabe,algerie
شريكه الجريمة فاق بصفة متأخرة وأنت وقتاش دغفة مدك,negative,arabe,algerie
شغل راك تهدر بابا علاباليش وش يدير البرا مي نهار طول فالدار عساس وقتاش دخلنا وق,negative,arabe,algerie
وقتاشنعرفها مجرد مزرعة لرعاة البقر,negative,arabe,algerie
مستفزين ،كي ناس الصحرا يشوفو كلامهم كيفاش ؟ وقتاش يتعلمو يحترمو ثقافات الاخرينوزيد جهلهم كبير علابا,negative,arabe,algerie
وقتاش قطر عندها تاريخ كرة القدم,negative,arabe,algerie
مرحبا بيك كلبي,negative,arabe,algerie
كيفي اقسم بالله هذاك الي يكسر الباب بالطبطيب يحسبك قاعدة الباب تستني وقتاش يطبطبوالحديث قياس,negative,arabe,algerie
الدفاع الدفاع وقتاش نهاجمو ؟؟,negative,arabe,algerie
الشعب الجزائري نائم وقتاش يفيقوا,negative,arabe,algerie
هوما اي يخمم بطريقة مغايرة يدخلوه خانة الزندقةانا مرة كتبت استغفر الله العظيم ، جات وحدة,negative,arabe,algerie
والله شفت الفديو قعدت نستنى فيك وقتاش تغرد شمايتية انا متشمت اكثر منك,negative,arabe,algerie
وقتاش قالو لكلام هذا؟؟ لوول,negative,arabe,algerie
ربحت حرية تعبير ؟ وقتاش,negative,arabe,algerie
مصطلح القهوي انا شخصيا جامي استعملتو راكم تتناقشو المصطلح مش الظاهرة حنا وعلاش دايما نركزو,negative,arabe,algerie
وعلاش الزوج يلبس معاها الذهب ذكرته سابقا استعماله مشترك بينهم الذهب ذهبها,negative,arabe,algerie
وعلاش ماكانش توظيف عباد الله الشباب ضاع رانا بشهاداتنا ماكانش خدمة علاه مسلمين علاه عباد الله,negative,arabe,algerie
عارفين ومعنداش شك فيك وعلاش العاقلة عندكم منسية,negative,arabe,algerie
وعلاش ذكري سيئة ؟ وعلاش حظك عطيب؟ وعلاش مخزنينها ذكري أصلا؟,negative,arabe,algerie
يبعثولك يحكو معاك ، يضحكو ويقولو معريفة خير، يعطوك بلوك والله حبيت نفهم علاش بعثتلي وعلاش بلو,negative,arabe,algerie
وعلاش الحوتة المفترسة اللي راهي معاه تخليه تأكله دقيقة,negative,arabe,algerie
وعلاش ياليل بليتيني بالتخمام,negative,arabe,algerie
حنا مكنسواوس حنا كنس قبيح خصنا نديرو حملة نوقفو النية الزايدة نورو المشارقة كلهم أننا حبسنا الكرم والنية والضياف,negative,arabe,algerie
عشت تجربتك هاذي انا ماتوفى بابا لافامي نتاع ماما دارو كراعهم عندنا عايشيين عندنا خرجتلهم للعيب,negative,arabe,algerie
جياحة ، المسلم شاطر فىً المسلم,negative,arabe,algerie
يبانو كيوت قدام الكيبوب جهلو نيشان وصلو لدرجة الكفر,negative,arabe,algerie
استغفر الله جهلو نيشان,negative,arabe,algerie
قاع ماشي نيشان,negative,arabe,algerie
جياحة يقولولها,negative,arabe,algerie
نيشان بصح العام مرڨوها,negative,arabe,algerie
بصح بزاف قاع كيما استغباء فهذا الشعب رجعونا اغبياء وذلونا نيشان,negative,arabe,algerie
هه لاحولة هه نيشانكيفاه كلشي فدار راجلي التسياق ولغسيل عندك,negative,arabe,algerie
تسير كارثي انا وقعت معهم موسم مكانوش خدمين اورقي نيشان كاين ناد,negative,arabe,algerie
جياحه اتخيلك معي واتمنى ان تكون جنبي ارتقوا شويه ياشكوبي الحرب العالمية الثالثه الابواب,negative,arabe,algerie
تقدير لطافة الشخص يعتمد شخصية الطرف الثاني كاين مريض يشوفها جياحةوكاين محروم يشوفها حبوك,negative,arabe,algerie
جياحة وقلت تربية ربي يهدي,negative,arabe,algerie
اذا صح وش راهو يقول والله جياحة نطلب قطر ان تنزع مقعد دولة إسرائيل الأمم المتحدة,negative,arabe,algerie
راهم يبهدلو نيشان بن عمي مشي لهذه الدرجة,negative,arabe,algerie
نيشان والله ،حابسين عصر الجاهلية ، وفرحان بروحه وڨاع,negative,arabe,algerie
راهم يبهدلو نيشان بن عمي مشي لهذه الدرجة,negative,arabe,algerie
نيشان والله ،حابسين عصر الجاهلية ، وفرحان بروحه وڨاع,negative,arabe,algerie
نيشان، هوما يتغطاو بالفصحى يسب بالدارجة ديركت وجه الاختلاف,negative,arabe,algerie
خالد جات ادي جياحة كبيرة الله المستعان,negative,arabe,algerie
والله عندك الحق جياحة مكان,negative,arabe,algerie
والله حطموه شخصيات فخمة رئيسية ماهور سافاش نجاتي تهمشت جياحة كملتو هكذاك برك باش نشوف نها,negative,arabe,algerie
معاك قوي جياحة زايدة حدها تاني الله يصلح الحال,negative,arabe,algerie
قوي شاعراما لعندنا جياحه,negative,arabe,algerie
وناس عنبالهم جياحه,negative,arabe,algerie
جياحة تفاهة خبر نبقاو نتبعوه محبين التلفاز حاطين عاجل تفاهة,negative,arabe,algerie
تشوف هذاك الولد هاز الفيميجان تفهم بزاف صوالح كنا مريحين جياحة تعهم، كانوا يبثو سم زعاف المجتم,negative,arabe,algerie
كون يعتزلو جياحة خرجة حبوس,negative,arabe,algerie
دوكا ترجع جياحة نوميديا وريفكا مواقع بفف,negative,arabe,algerie
والله جياحة جابلو ربي شغل راه بعيد اليوم تهدر بنت الناس وغدوة يهدرولك بنتك ختك الدنيا دوارة,negative,arabe,algerie
الله حسبتك طفل بديت أسمحيلي خاطرش جياحة نرد طفلة,negative,arabe,algerie
جياحة حقربي,negative,arabe,algerie
منسمعش راي جياحة راكي ظالمتني مراكيش فاهمتني سيفريي تااع ميليوو عشقك سيريوو,negative,arabe,algerie
الجي فخونساز؟ تسما يهدر ويتقن اللغة الفرنسية ترجعوه الافخونساز واش هادي الهدرة عيب عليكم علاه الحقد هدا جياحة,negative,arabe,algerie
الملاحة جياحة والأمان بدعةوين غبتي لالا وحضرتي إيهكون حضرت كلمة لالا نعودش سفيه,negative,arabe,algerie
عندو معنى جياحة تع مراهقين وخلاص,negative,arabe,algerie
جياحة لوكان يكتب راجل الخير مايرد عليهمجتمعنا عيان مايدصق يشوف حساب مؤنث ويتفاعل,negative,arabe,algerie
الحشمة ولات جياحة كبيرة الدنيا,negative,arabe,algerie
سيدي جياحة كبيرة المداخلة,negative,arabe,algerie
عندها كلاشات نيشان,negative,arabe,algerie
شت هداك بنادم خسرت قاع عيباد جالوا قيمتوا حبيتوا قلبك خسرت وقتك روحك غي باش ترضيه هداك غادي يكون,negative,arabe,algerie
باين شارب كاش حاجة,negative,arabe,algerie
نكتفي بهذا القدر ونروحوا نشوفوا كاش حاجة نڤصروا فيهااييه وش ڤال سيدي الرايس,negative,arabe,algerie
راك مثبت؟ماكش ضارب كاش حاجة هه حول قوة الا بالله,negative,arabe,algerie
بصح الجزائر امازيغية كيفاش تجمع العرب هه غرد كأنك كاش حاجة,negative,arabe,algerie
جاهل منقراش عندي منحت البطالة ضمان صحي الدواء بالمجان وعاطيتني الدولة,negative,arabe,algerie
شرب كاش حاجة يلقي الخطاب مافيهاش هدرة,negative,arabe,algerie
الرويجليا الجايح تجي تهدر كاش حاجة حوس سقسي امبعد اهدرماشي تطلق غباءك هكاك مباشرةولا است,negative,arabe,algerie
